1,6G	polnocvet
154M	3846
88M	4380
81M	3340
79M	3354
65M	4026
62M	3149
55M	4242
48M	3392
44M	3142
43M	3943
40M	4603
40M	4319
39M	4670
38M	4896
37M	4125
36M	3465
36M	3747
36M	3511
35M	5322
34M	3832
34M	5190
33M	3554
32M	3517
32M	3506
32M	4758
31M	4371
30M	3004
30M	4234
29M	3062
29M	3779
29M	3697
28M	4503
28M	954
28M	3155
28M	4625
28M	3002
27M	5233
27M	3709
27M	4931
27M	3685
27M	3503
26M	3581
26M	3659
26M	3840
26M	3567
26M	3200
25M	3288
25M	4500
25M	4311
25M	3706
25M	4439
25M	3458
25M	4325
25M	3453
24M	4715
24M	5301
23M	679
23M	4722
23M	4807
23M	4184
22M	621
22M	3014
22M	3434
22M	3708
21M	5119
21M	5342
21M	3217
21M	4504
21M	551
21M	5042
20M	3071
20M	3529
20M	4849
20M	5210
20M	3059
20M	4780
20M	3018
20M	3386
19M	5279
19M	3389
19M	3510
19M	3467
19M	5134
19M	3350
19M	3033
19M	3240
19M	941
18M	3117
18M	5271
18M	4544
18M	5150
18M	3408
17M	4183
17M	5116
17M	3242
17M	3281
17M	3208
17M	602
17M	4431
17M	3911
17M	3227
17M	4400
17M	4669
17M	4003
16M	3324
16M	3070
16M	647
16M	4244
16M	5220
16M	3582
16M	4096
16M	4148
16M	4973
16M	4089
16M	3849
15M	5188
15M	4835
15M	358
15M	3647
15M	668
15M	4974
15M	3061
15M	5040
15M	4770
15M	3003
15M	3160
15M	4586
14M	4874
14M	3381
14M	3193
14M	3476
14M	4024
14M	4023
14M	913
13M	4506
13M	3197
13M	3162
13M	4317
13M	582
13M	3494
13M	3464
13M	3809
13M	4592
13M	4844
13M	4084
13M	4890
13M	3855
13M	922
13M	4702
13M	3600
13M	4975
12M	4983
12M	830
12M	3642
12M	3089
12M	757
12M	3431
12M	3021
12M	3613
12M	4037
12M	4040
12M	5302
12M	4122
12M	982
12M	4878
12M	4182
12M	580
12M	4694
12M	3624
12M	724
12M	3390
12M	4146
12M	563
12M	363
12M	3417
12M	788
12M	3560
12M	4010
12M	3147
11M	3099
11M	4703
11M	3565
11M	3646
11M	3356
11M	5017
11M	488
11M	4302
11M	3237
11M	4546
11M	5097
11M	3897
11M	5289
11M	3259
11M	4465
11M	4681
11M	3655
11M	3052
11M	3058
11M	3426
11M	4516
11M	3852
11M	3623
11M	4083
11M	630
11M	3140
11M	5218
